,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,MAGEH1,MAGEL2,CSAG1,CSAG2,CSAG3,CSAG4,TRIM28,NDN
MAGEA1,1.0,0.18883773180115185,4.34860202120494e-05,0.025728642614259972,0.9855189775605517,-0.013675876434526188,0.09420992568138602,-0.028674130533262603,0.006437236771167316,0.0759609718030731,0.01716680585387955,0.1826961921484459,0.8298479033497561,0.09479217984995335,-0.04158206529642953,-0.020160050760228636,-0.021363317301816682,-0.02297779975915763,-0.004586464878295652,0.0187156616653447,-0.02362574464874263,-0.025517697730167085,0.03513239413547991,-0.01987150262542417,0.1986715180557398,0.9590179815814616,0.018701394590249866,0.08297469780387333,0.07205589294373456,-0.014815397908073336,0.029970903925476598,0.029564272350340877,0.058371055405751486,0.05147305572558892,0.006553102917005351,0.028500967228023342,0.03196323771178134,0.09232311644498921,0.012846673809416512,0.0573243391799096,-0.034993119254393114,0.04263471732840098,0.0704514741627835
MAGEA2,0.18883773180115185,1.0,-0.039886774008194646,-0.019719221666530735,0.20372726891644358,-0.036105663561682044,-0.03564803330497649,0.08902548316316944,-0.010042852069885031,-0.0178988434080417,-0.02205400636387304,-0.00029302050677361093,0.17883035335583777,-0.024573717239324624,0.20927695268003754,0.05678708396042789,-0.0634371267126556,-0.05756713693416593,-0.02965471800089257,-0.06870957439300374,-0.011197570410714397,-0.06374298801396362,-0.020679352732529577,0.2552682541032509,0.012711367087886524,0.18745316160631278,-0.02712810386935682,-0.06364573040378346,-0.023553889984959102,-0.05366761431581027,0.014892181889909808,0.013888126481101498,-0.10335038855797178,-0.0634432202356491,-0.05921068012628183,-0.09771191454555911,-0.08220462526917825,-0.03628340689960665,-0.0011853108446237205,-0.016713243838589555,-0.10784314819329173,-0.04553989158359689,-0.06841951634551399
MAGEA2B,4.34860202120494e-05,-0.039886774008194646,1.0,0.008615970733515287,-0.018286690350978844,-0.02769891373113782,0.24358433136875346,-0.04973949322358627,0.0033041903483259976,0.5422507655135311,0.8228674023150807,0.41398097239913967,-0.045977888946424496,-0.011071329896310579,-0.010157875997309596,-0.026481083660852597,-0.0477526239567924,-0.04416335284806423,-0.0227499897412127,-0.06511369619509967,0.14745753601139486,-0.011534070079002291,0.41775524120692653,-0.013027068200472385,-0.0006620038295931338,-0.010322721232358594,0.4322724373656179,0.062014442912448446,0.3924611304852215,0.3679361406310373,-0.001101024805030242,0.002040081728961514,-0.009928463039046287,-0.07204453960674027,-0.06723978448192731,0.028189452159291098,0.3086935315038686,-0.057787815988696735,0.31261827687270033,0.10517688222224904,-0.07925565078940601,0.2573353224724718,0.10973441726839861
MAGEA3,0.025728642614259972,-0.019719221666530735,0.008615970733515287,1.0,-2.1640048224981635e-05,-0.026209094533931353,0.1970806437286916,-0.03599744595732761,0.0518156683218733,0.018358183521183204,0.04000504589135586,0.09962430910954927,0.12736675798972202,0.47035760261963133,0.1716686291758459,0.30759509912269556,-0.039228087469455,-0.04782443055682815,-0.018785685692526415,-0.025026511690611906,-0.04085025170419499,0.054124509872821074,-0.07945612591369669,-0.015222225559682135,0.12582830538372564,0.07434532579360527,-0.003852544511050892,-0.033573801217899386,0.04183012972700804,0.013896813519155097,0.030078923983628755,0.010747560305897885,0.02853350079889578,-0.04219225114900892,-0.07350956066877407,0.042569921225370226,0.022069405063215905,0.478204156258589,0.018997603782859723,-0.016147066830278983,0.08104159769648214,-0.036168399002708615,0.03807687581049338
MAGEA4,0.9855189775605517,0.20372726891644358,-0.018286690350978844,-2.1640048224981635e-05,1.0,-0.01114225775106587,0.04720827254609813,-0.019656920548158555,0.014886989480864447,0.06404290309986146,-0.00498354188041633,0.17238607968341768,0.8387700078862657,0.09024847227682463,-0.030007914129234214,-0.02211923493695567,-0.022129104181359178,-0.01776529813987716,-0.006227137425684111,0.01242426145102516,-0.0182459911779538,-0.017168781135766763,0.0214727456466434,-0.011454368185345922,0.1793275599916522,0.968047615125043,0.014051042849772804,0.06973492594364387,0.0461353492288254,-0.025240858386130865,0.00966931834269088,0.00418090319779204,0.051872401006558655,0.025593178420269525,-0.0049151028958103835,0.005271746286133714,0.02753658883106033,0.08667006879411537,0.0046464602414789885,0.05476656159028145,-0.05734365103076937,0.033207230891607604,0.055247080253220775
MAGEA5,-0.013675876434526188,-0.036105663561682044,-0.02769891373113782,-0.026209094533931353,-0.01114225775106587,1.0,-0.050655517072237255,-0.030306755529161473,0.02900972423528265,-0.015838300659789705,-0.010500431943182821,0.3535173393097597,-0.01895353781428625,-0.03042578707825507,-0.05317507138512673,-0.02691083524243534,-0.03735508549888076,-0.02690915912829795,-0.013861789348728573,-0.04257344919837656,-0.028505571165454713,-0.029795996450935648,-0.04926674378884278,-0.022136760318086066,-0.015172651573907814,-0.015975302774086316,0.0372833657692339,-0.0032333623297572467,-0.06165740099831229,0.0393076262347537,-0.09601344574592494,-0.12434245632158111,-0.02304385966536526,-0.035001187202922994,0.045814872469661476,-0.03777433927056793,-0.03300301292901524,-0.05973802861997988,-0.01835723919551587,-0.022169661068084413,0.0626302753981818,-0.03054352656750668,0.06520447096546014
MAGEA6,0.09420992568138602,-0.03564803330497649,0.24358433136875346,0.1970806437286916,0.04720827254609813,-0.050655517072237255,1.0,-0.05212215885400633,-0.011346935134830202,0.18942928744391893,0.2937365590418174,0.14598755078090492,0.08434871623240989,-0.01887522065416466,-0.02027491865314776,0.052246467950826506,0.013039142461184502,-0.01314254132596398,-0.008185290088584866,0.09487440937840112,-0.02122703701299616,0.02313517562609446,0.0951209252670253,0.021522950566628313,0.3694813644004464,0.13338451444231034,0.20911229402511958,0.04626863027452648,0.1466592115721373,0.21240484433098644,0.06621506094357799,0.07690731258461111,0.3999181302755305,0.05921370108375563,-0.02422233478456571,0.16966418026406255,0.13830798759369914,-0.011961811673165925,0.16895682070330442,0.09470019751815033,-0.02848303124081443,0.09826750947650577,0.14179924255615015
MAGEA7P,-0.028674130533262603,0.08902548316316944,-0.04973949322358627,-0.03599744595732761,-0.019656920548158555,-0.030306755529161473,-0.05212215885400633,1.0,0.00800705011952506,-0.0284411531797775,-0.018855835595297753,-0.028793928417193037,-0.039245270339299455,-0.09601670592792062,-0.09548753891568511,-0.047285347014445,-0.04036827467005061,-0.0483213150922146,-0.024891892298389486,0.11207152805000296,-0.05118802410741139,0.062465744298033046,0.09985071670776487,-0.039751423125153944,-0.026892684999862214,-0.028229252033742727,1.7343075282791235e-05,0.07302295271961873,-0.05161043049395511,0.00674998697861061,0.012648559669472193,0.05175965072794766,0.1341564181834931,-0.006239980688895072,-0.041073581168820955,-0.054894191517447365,0.02146561168809555,-0.07096338139742621,-0.029722172108740372,-0.029585165480367194,0.02042218407033283,0.050157604159673096,0.06074977970299038
MAGEA8,0.006437236771167316,-0.010042852069885031,0.0033041903483259976,0.0518156683218733,0.014886989480864447,0.02900972423528265,-0.011346935134830202,0.00800705011952506,1.0,0.6546265684750847,-0.004298970026696599,0.0893654611474115,0.057034970849739894,-0.06731026316383452,-0.052885109223588855,-0.04258602292584061,-0.03515778349660892,-0.03918989122179316,-0.04236482257269505,0.030784437638622167,0.0035002429118330737,0.010550561761550755,-0.030377953607951393,-0.036332468332187735,0.01617930547852794,0.009980182774305794,0.05475193598520083,-0.001220477692446107,0.4793671635592434,0.5832975401960158,-0.044682969846409265,-0.04253298662556642,-0.013250040630760693,-0.06239926095598263,-0.02558391629375556,0.06290510913546066,0.7152603653824818,-0.06123023115532117,-0.036895074709773594,-0.035258091619366674,-0.06542223987021965,-0.023851868871642336,0.598596857620455
MAGEA9,0.0759609718030731,-0.0178988434080417,0.5422507655135311,0.018358183521183204,0.06404290309986146,-0.015838300659789705,0.18942928744391893,-0.0284411531797775,0.6546265684750847,1.0,0.6917842775905584,0.3535652327860706,0.07901669932398331,-0.0684619935350503,-0.04755230348513029,-0.033833999244658665,-0.01889059091377049,-0.017287673379758776,-0.013008494882721773,-0.03205553699472066,-0.02675084488056308,-0.027961835056535798,0.32592383944721676,-0.020774080897735917,0.03370723470852471,0.06996044964964192,0.34371348528752005,0.07681264781124038,0.6886913022219329,0.6923108271624225,-0.015273307535536365,-0.027041889016229403,-0.015173241137440445,-0.0785730982960802,-0.09600011080706197,0.019862492780980453,0.8042454595510341,-0.08349543978162646,0.2615938934782178,0.07536218546417321,-0.08726009622640658,0.15975781803786027,0.6008364825259467
MAGEA9B,0.01716680585387955,-0.02205400636387304,0.8228674023150807,0.04000504589135586,-0.00498354188041633,-0.010500431943182821,0.2937365590418174,-0.018855835595297753,-0.004298970026696599,0.6917842775905584,1.0,0.5223453348064816,-0.015648301459562624,-0.019573781127768936,-0.0328261358183593,-0.022949397530971784,-0.023241067495246806,-0.01674196632637471,-0.008624335282764831,-0.025229248379089853,-0.017735199761937222,-0.01853805861654579,0.5181967075756243,-0.013772741617581219,0.00875836816771921,0.007448935900100719,0.4808075678256771,0.11051246777071735,0.46345189214780796,0.45211034017134494,0.03244268417775158,0.031209950022401994,-0.024788317273974177,-0.04639094636828294,-0.11056753728949174,0.028037667971411273,0.38906541123270083,-0.04720626109076393,0.39139400520542295,0.11872110137485932,-0.05690958267195746,0.31805786260874974,0.17264919519647753
MAGEA10,0.1826961921484459,-0.00029302050677361093,0.41398097239913967,0.09962430910954927,0.17238607968341768,0.3535173393097597,0.14598755078090492,-0.028793928417193037,0.0893654611474115,0.3535652327860706,0.5223453348064816,1.0,0.13556571850762317,0.11448655397723721,-0.03746294997824524,-0.022681885864624298,-0.038406268082984606,-0.039802356458568756,-0.020503497644840173,-0.027401012624177615,-0.028715665325364757,-0.0321114805828951,0.2686541676060828,-0.03274332062244906,0.028057906166281375,0.16963362847230215,0.3634343708800892,0.04370997556381474,0.25110955374590804,0.28403298745106065,-0.057859199293865564,-0.059073934267679026,-0.00924476239514848,-0.09527382771190135,-0.0022633052365722654,-0.023874349295655163,0.1624480763681901,0.07973504462999359,0.1966307129555893,0.05454394561952045,0.03322766919501712,0.1813948691625261,0.1365409659763756
MAGEA11,0.8298479033497561,0.17883035335583777,-0.045977888946424496,0.12736675798972202,0.8387700078862657,-0.01895353781428625,0.08434871623240989,-0.039245270339299455,0.057034970849739894,0.07901669932398331,-0.015648301459562624,0.13556571850762317,1.0,0.1775514493481812,0.11450246039588609,0.3335627428642686,-0.041376030724143864,-0.03382584974495749,-0.02532450599573346,0.20303622924836798,-0.035736072491700355,0.10743758253670875,0.008944689434775253,0.04301834841346772,0.27286892166194404,0.841618151010101,0.01960901839179122,0.1423635145394768,0.06626793214491032,-0.022377600020774352,0.02916855392298992,0.019346167588158512,0.08632092162466487,-0.030448278490419235,-0.027153606549106913,-0.006424193753211836,0.06014888204367309,0.12836122710334757,-0.008860993636538353,0.027111171225932536,-0.08014522509301508,-0.01633062174022499,0.07661131713535396
MAGEA12,0.09479217984995335,-0.024573717239324624,-0.011071329896310579,0.47035760261963133,0.09024847227682463,-0.03042578707825507,-0.01887522065416466,-0.09601670592792062,-0.06731026316383452,-0.0684619935350503,-0.019573781127768936,0.11448655397723721,0.1775514493481812,1.0,0.15078638106115055,0.29017940480276994,-0.03101885359959596,-0.014214937486045381,0.131898961039594,-0.05562953752401038,-0.06194942353817068,-0.013447270597676045,-0.09623742926202579,-0.023155743487923913,-0.020545303130231275,0.09696878202558523,-0.14334258945440106,-0.048370943388527037,-0.0033969297330087287,-0.12008369585778532,0.05217932843558294,0.014405876519567143,-0.1213582189196499,-0.10214510919762043,-0.03354998056632092,-0.0005611003537258793,-0.14113927956872294,0.9073998006555705,0.012832952446778198,0.017679220684301004,0.2853804586272304,0.05155357249885888,-0.08692391176861618
MAGEB1,-0.04158206529642953,0.20927695268003754,-0.010157875997309596,0.1716686291758459,-0.030007914129234214,-0.05317507138512673,-0.02027491865314776,-0.09548753891568511,-0.052885109223588855,-0.04755230348513029,-0.0328261358183593,-0.03746294997824524,0.11450246039588609,0.15078638106115055,1.0,0.34703856594442434,0.021303863611612968,0.010353788537001845,-0.04367435994935649,-0.08333401521836183,0.0793622940357275,0.1369998768245653,-0.12890872821364566,0.29621022698481286,-0.01253392854656832,0.00947524768337085,-0.0764387928423634,0.03700522319927046,-0.011851724965971562,-0.05992670070907799,0.015872120699663286,0.0231433205279423,0.011420608416715494,0.11534935686652209,0.025509259094064443,-0.059860419601974184,-0.08219300076885912,0.057055053518541815,-0.04872454265888736,-0.05331267914790666,0.046660802259183634,0.09297246191180121,-0.03886950431562405
MAGEB2,-0.020160050760228636,0.05678708396042789,-0.026481083660852597,0.30759509912269556,-0.02211923493695567,-0.02691083524243534,0.052246467950826506,-0.047285347014445,-0.04258602292584061,-0.033833999244658665,-0.022949397530971784,-0.022681885864624298,0.3335627428642686,0.29017940480276994,0.34703856594442434,1.0,-0.0325275681172395,-0.037462098113624775,-0.016924126362498224,0.009639170173596301,-0.013311851394274812,0.22085116703386812,-0.10865147142570317,0.034029444369178825,-0.0008262420301503582,-0.0104476910592304,0.032334653167980905,0.09047559263426924,0.01890469663645988,-0.067740916571933,0.02146398862301159,-0.017526922449396704,0.08366704102602406,-0.05304056501037457,-0.05375578385014158,-0.0700917650805017,-0.024918973930772664,0.15776888134694322,-0.013337721875177603,-0.014217964813426215,0.07535756945123996,-0.06540349011663296,0.030311208848308874
MAGEB3,-0.021363317301816682,-0.0634371267126556,-0.0477526239567924,-0.039228087469455,-0.022129104181359178,-0.03735508549888076,0.013039142461184502,-0.04036827467005061,-0.03515778349660892,-0.01889059091377049,-0.023241067495246806,-0.038406268082984606,-0.041376030724143864,-0.03101885359959596,0.021303863611612968,-0.0325275681172395,1.0,0.361875270745365,0.1395342111757936,-0.03827278229838441,-0.06309263342990462,0.04244414705277488,-0.04671098735480421,-0.026851689377049282,0.07078844060526406,-0.01223492871054428,0.02392159743924289,0.04861671647731888,0.1362737435893191,0.07893194200801532,0.02121584969704467,0.06131457261684671,0.1075728249970253,0.13700561719331006,0.06858125049134828,0.1606691298891362,-0.021870177315795433,-0.06969748799777603,-0.03363248052257073,-0.040104858753947856,-0.07634709032272347,-0.07305326074898827,0.07676246112322069
MAGEB4,-0.02297779975915763,-0.05756713693416593,-0.04416335284806423,-0.04782443055682815,-0.01776529813987716,-0.02690915912829795,-0.01314254132596398,-0.0483213150922146,-0.03918989122179316,-0.017287673379758776,-0.01674196632637471,-0.039802356458568756,-0.03382584974495749,-0.014214937486045381,0.010353788537001845,-0.037462098113624775,0.361875270745365,1.0,-0.02210133942636354,-0.06787942217363652,-0.04544949342545459,-0.04750695704153473,0.12191567015505893,-0.035295014321866776,-0.02442417151775984,-0.022158730742676293,0.03877858310094673,0.18524802416930264,0.22817818504281326,0.09595566495748627,0.01800143766145055,0.023101998596077273,0.11239777189049183,0.20994543483895003,0.026706285469711943,0.14176114371614648,-0.024977447493462143,-0.011063621041262163,0.3692027155407283,0.3773473327466007,0.003542107219484934,-0.01052581241140106,0.11234777537897873
MAGEB5,-0.004586464878295652,-0.02965471800089257,-0.0227499897412127,-0.018785685692526415,-0.006227137425684111,-0.013861789348728573,-0.008185290088584866,-0.024891892298389486,-0.04236482257269505,-0.013008494882721773,-0.008624335282764831,-0.020503497644840173,-0.02532450599573346,0.131898961039594,-0.04367435994935649,-0.016924126362498224,0.1395342111757936,-0.02210133942636354,1.0,-0.03496691393432924,-0.023412522883613614,-0.024472389790000278,-0.019100209810861316,-0.01818161806013376,-0.010512084995209961,-0.009190265779169787,0.031115416069588012,0.042208777191490146,0.02122938652898934,0.03796394956014718,0.08612402610972611,0.06113128514848502,0.022836989372103107,-0.02449287446156756,-0.0232173794708454,0.10584135598404722,0.05334902943788555,0.107126547904884,-0.015077378392117119,-0.018368380671525047,0.020501899210659737,0.12153247030937343,0.01921499870333106
MAGEB6,0.0187156616653447,-0.06870957439300374,-0.06511369619509967,-0.025026511690611906,0.01242426145102516,-0.04257344919837656,0.09487440937840112,0.11207152805000296,0.030784437638622167,-0.03205553699472066,-0.025229248379089853,-0.027401012624177615,0.20303622924836798,-0.05562953752401038,-0.08333401521836183,0.009639170173596301,-0.03827278229838441,-0.06787942217363652,-0.03496691393432924,1.0,-0.05237978164018961,0.16446949251427143,0.07824492382973197,0.2471041773002993,0.12112510618395889,0.04627447359020683,0.0076247806618904915,0.2574105788278016,-0.017168203505130417,0.05841107759289441,0.17676155746789596,0.21609899455596546,0.08505042957440234,-0.005623882028512467,0.14380523274188337,0.21695893186433926,0.047386601923318276,-0.09444663077446208,-0.026535218288111194,-0.035242128206078645,-0.1296547467927371,0.0622932465040522,0.04314707018843348
MAGEB10,-0.02362574464874263,-0.011197570410714397,0.14745753601139486,-0.04085025170419499,-0.0182459911779538,-0.028505571165454713,-0.02122703701299616,-0.05118802410741139,0.0035002429118330737,-0.02675084488056308,-0.017735199761937222,-0.028715665325364757,-0.035736072491700355,-0.06194942353817068,0.0793622940357275,-0.013311851394274812,-0.06309263342990462,-0.04544949342545459,-0.023412522883613614,-0.05237978164018961,1.0,-0.050325353473329636,-0.06716602072027718,0.022506888396843554,-0.02273632233337904,-0.02421578237374279,-0.01491190733902372,-0.09430591557902512,-0.005331472543324034,-0.03162967910409947,-0.07973713859895215,-0.07865406796805313,-0.030823348424254316,-0.007560991141065716,0.006539069043008803,0.048183574714162736,-0.04473131888568871,-0.07980432152041216,-0.020002381865113123,-0.037596281470801275,-0.029530496788046697,0.0736038485939171,-0.09206324052284762
