gene,Stage IN,Stage IP,Stage IAN,Stage IAP,Stage IBN,Stage IBP,Stage IIAN,Stage IIAP,Stage IIBN,Stage IIBP,Stage IIIN,Stage IIIP,Stage IIIBN,Stage IIIBP,Stage IVN,Stage IVP
MAGEA1,0.0,0.564971751412429,1.69491525423729,0.0,7.34463276836158,1.69491525423729,8.47457627118644,2.25988700564972,35.5932203389831,6.21468926553672,20.9039548022599,6.77966101694915,0.564971751412429,0.0,6.77966101694915,1.12994350282486
MAGEA2,0.564971751412429,0.0,1.69491525423729,0.0,8.47457627118644,0.564971751412429,10.7344632768362,0.0,40.6779661016949,1.12994350282486,27.683615819209,0.0,0.564971751412429,0.0,7.34463276836158,0.564971751412429
MAGEA2B,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,40.6779661016949,1.12994350282486,27.683615819209,0.0,0.564971751412429,0.0,7.90960451977401,0.0
MAGEA3,0.564971751412429,0.0,1.69491525423729,0.0,8.47457627118644,0.564971751412429,8.47457627118644,2.25988700564972,37.2881355932203,4.51977401129944,25.9887005649718,1.69491525423729,0.564971751412429,0.0,6.21468926553672,1.69491525423729
MAGEA4,0.0,0.564971751412429,0.564971751412429,1.12994350282486,7.90960451977401,1.12994350282486,9.6045197740113,1.12994350282486,35.5932203389831,6.21468926553672,24.2937853107345,3.38983050847458,0.0,0.564971751412429,6.77966101694915,1.12994350282486
MAGEA5,0.0,0.564971751412429,0.0,1.69491525423729,3.38983050847458,5.64971751412429,2.82485875706215,7.90960451977401,11.864406779661,29.9435028248588,10.1694915254237,17.5141242937853,0.0,0.564971751412429,3.38983050847458,4.51977401129944
MAGEA6,0.564971751412429,0.0,1.12994350282486,0.564971751412429,7.90960451977401,1.12994350282486,8.47457627118644,2.25988700564972,36.7231638418079,5.08474576271187,24.8587570621469,2.82485875706215,0.564971751412429,0.0,6.77966101694915,1.12994350282486
MAGEA7P,0.564971751412429,0.0,1.69491525423729,0.0,8.47457627118644,0.564971751412429,9.03954802259887,1.69491525423729,37.8531073446328,3.95480225988701,24.8587570621469,2.82485875706215,0.564971751412429,0.0,6.77966101694915,1.12994350282486
MAGEA8,0.0,0.564971751412429,0.0,1.69491525423729,0.564971751412429,8.47457627118644,1.12994350282486,9.6045197740113,6.21468926553672,35.5932203389831,2.82485875706215,24.8587570621469,0.0,0.564971751412429,0.564971751412429,7.34463276836158
MAGEA9,0.564971751412429,0.0,1.69491525423729,0.0,8.47457627118644,0.564971751412429,9.6045197740113,1.12994350282486,38.9830508474576,2.82485875706215,27.1186440677966,0.564971751412429,0.564971751412429,0.0,7.90960451977401,0.0
MAGEA9B,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.1694915254237,0.564971751412429,38.4180790960452,3.38983050847458,25.9887005649718,1.69491525423729,0.564971751412429,0.0,6.77966101694915,1.12994350282486
MAGEA10,0.0,0.564971751412429,0.564971751412429,1.12994350282486,2.82485875706215,6.21468926553672,5.08474576271187,5.64971751412429,13.5593220338983,28.2485875706215,10.7344632768362,16.9491525423729,0.564971751412429,0.0,2.82485875706215,5.08474576271187
MAGEA11,0.564971751412429,0.0,1.69491525423729,0.0,6.77966101694915,2.25988700564972,8.47457627118644,2.25988700564972,34.4632768361582,7.34463276836158,24.2937853107345,3.38983050847458,0.564971751412429,0.0,5.64971751412429,2.25988700564972
MAGEA12,0.564971751412429,0.0,1.69491525423729,0.0,6.21468926553672,2.82485875706215,7.90960451977401,2.82485875706215,26.5536723163842,15.2542372881356,19.2090395480226,8.47457627118644,0.0,0.564971751412429,5.08474576271187,2.82485875706215
MAGEB1,0.564971751412429,0.0,1.69491525423729,0.0,8.47457627118644,0.564971751412429,10.1694915254237,0.564971751412429,40.6779661016949,1.12994350282486,27.1186440677966,0.564971751412429,0.564971751412429,0.0,7.34463276836158,0.564971751412429
MAGEB2,0.564971751412429,0.0,1.69491525423729,0.0,7.90960451977401,1.12994350282486,9.03954802259887,1.69491525423729,32.7683615819209,9.03954802259887,23.728813559322,3.95480225988701,0.564971751412429,0.0,6.21468926553672,1.69491525423729
MAGEB3,0.564971751412429,0.0,1.69491525423729,0.0,8.47457627118644,0.564971751412429,10.7344632768362,0.0,41.2429378531073,0.564971751412429,27.683615819209,0.0,0.564971751412429,0.0,7.90960451977401,0.0
MAGEB4,0.564971751412429,0.0,1.69491525423729,0.0,8.47457627118644,0.564971751412429,10.1694915254237,0.564971751412429,37.8531073446328,3.95480225988701,25.9887005649718,1.69491525423729,0.564971751412429,0.0,7.90960451977401,0.0
MAGEB5,0.0,0.564971751412429,1.12994350282486,0.564971751412429,7.34463276836158,1.69491525423729,9.6045197740113,1.12994350282486,32.7683615819209,9.03954802259887,23.1638418079096,4.51977401129944,0.564971751412429,0.0,6.77966101694915,1.12994350282486
MAGEB6,0.564971751412429,0.0,1.69491525423729,0.0,8.47457627118644,0.564971751412429,10.1694915254237,0.564971751412429,40.6779661016949,1.12994350282486,26.5536723163842,1.12994350282486,0.564971751412429,0.0,7.90960451977401,0.0
MAGEB10,0.0,0.564971751412429,1.69491525423729,0.0,7.90960451977401,1.12994350282486,10.1694915254237,0.564971751412429,38.9830508474576,2.82485875706215,23.1638418079096,4.51977401129944,0.0,0.564971751412429,7.34463276836158,0.564971751412429
MAGEB16,0.564971751412429,0.0,1.69491525423729,0.0,8.47457627118644,0.564971751412429,9.6045197740113,1.12994350282486,38.9830508474576,2.82485875706215,27.1186440677966,0.564971751412429,0.0,0.564971751412429,7.34463276836158,0.564971751412429
MAGEB17,0.0,0.564971751412429,0.0,1.69491525423729,2.25988700564972,6.77966101694915,3.38983050847458,7.34463276836158,15.819209039548,25.9887005649718,11.864406779661,15.819209039548,0.0,0.564971751412429,2.82485875706215,5.08474576271187
MAGEB18,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,38.9830508474576,2.82485875706215,24.8587570621469,2.82485875706215,0.564971751412429,0.0,7.90960451977401,0.0
MAGEC1,0.564971751412429,0.0,1.12994350282486,0.564971751412429,7.90960451977401,1.12994350282486,9.6045197740113,1.12994350282486,37.8531073446328,3.95480225988701,24.2937853107345,3.38983050847458,0.564971751412429,0.0,6.21468926553672,1.69491525423729
MAGEC2,0.564971751412429,0.0,1.69491525423729,0.0,6.21468926553672,2.82485875706215,7.90960451977401,2.82485875706215,34.4632768361582,7.34463276836158,25.4237288135593,2.25988700564972,0.564971751412429,0.0,7.34463276836158,0.564971751412429
MAGEC3,0.0,0.564971751412429,0.564971751412429,1.12994350282486,1.12994350282486,7.90960451977401,2.82485875706215,7.90960451977401,18.6440677966102,23.1638418079096,5.08474576271187,22.5988700564972,0.0,0.564971751412429,0.564971751412429,7.34463276836158
CSAG1,0.0,0.564971751412429,0.0,1.69491525423729,2.25988700564972,6.77966101694915,3.95480225988701,6.77966101694915,12.9943502824859,28.8135593220339,9.03954802259887,18.6440677966102,0.0,0.564971751412429,2.82485875706215,5.08474576271187
CSAG2,0.564971751412429,0.0,1.12994350282486,0.564971751412429,8.47457627118644,0.564971751412429,8.47457627118644,2.25988700564972,35.0282485875706,6.77966101694915,25.4237288135593,2.25988700564972,0.564971751412429,0.0,7.34463276836158,0.564971751412429
CSAG3,0.564971751412429,0.0,1.12994350282486,0.564971751412429,5.08474576271187,3.95480225988701,7.34463276836158,3.38983050847458,28.8135593220339,12.9943502824859,17.5141242937853,10.1694915254237,0.0,0.564971751412429,4.51977401129944,3.38983050847458
CSAG4,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,40.1129943502825,1.69491525423729,26.5536723163842,1.12994350282486,0.564971751412429,0.0,7.34463276836158,0.564971751412429
MAGED1,0.0,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,41.8079096045198,0.0,27.683615819209,0.0,0.564971751412429,0.0,7.90960451977401
MAGED2,0.0,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,41.8079096045198,0.0,27.683615819209,0.0,0.564971751412429,0.0,7.90960451977401
TRO,0.0,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,41.8079096045198,0.0,27.683615819209,0.0,0.564971751412429,0.0,7.90960451977401
MAGED4,0.0,0.564971751412429,1.69491525423729,0.0,3.95480225988701,5.08474576271187,3.95480225988701,6.77966101694915,22.5988700564972,19.2090395480226,10.1694915254237,17.5141242937853,0.564971751412429,0.0,1.69491525423729,6.21468926553672
MAGED4B,0.0,0.564971751412429,0.564971751412429,1.12994350282486,2.82485875706215,6.21468926553672,2.82485875706215,7.90960451977401,12.4293785310734,29.3785310734463,5.08474576271187,22.5988700564972,0.0,0.564971751412429,1.69491525423729,6.21468926553672
MAGEE1,0.0,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,41.8079096045198,0.0,27.683615819209,0.0,0.564971751412429,0.0,7.90960451977401
MAGEE2,0.0,0.564971751412429,0.0,1.69491525423729,0.564971751412429,8.47457627118644,0.0,10.7344632768362,1.12994350282486,40.6779661016949,0.564971751412429,27.1186440677966,0.0,0.564971751412429,0.564971751412429,7.34463276836158
MAGEF1,0.0,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,41.8079096045198,0.0,27.683615819209,0.0,0.564971751412429,0.0,7.90960451977401
NSMCE3,0.0,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,41.8079096045198,0.0,27.683615819209,0.0,0.564971751412429,0.0,7.90960451977401
MAGEH1,0.0,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,41.8079096045198,0.0,27.683615819209,0.0,0.564971751412429,0.0,7.90960451977401
MAGEL2,0.0,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,41.8079096045198,0.0,27.683615819209,0.0,0.564971751412429,0.0,7.90960451977401
TRIM28,0.0,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,41.8079096045198,0.0,27.683615819209,0.0,0.564971751412429,0.0,7.90960451977401
NDN,0.0,0.564971751412429,0.0,1.69491525423729,0.0,9.03954802259887,0.0,10.7344632768362,0.0,41.8079096045198,0.0,27.683615819209,0.0,0.564971751412429,0.0,7.90960451977401
